id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
5235,Kepler-236 c,942,4.66 Earths,16.014,2014
5236,Kepler-237 b,2146,2.57 Earths,15.689,2014
5237,Kepler-237 c,2146,4.98 Earths,15.689,2014
5238,Kepler-238 b,5868,3.64 Earths,15.297,2014
5239,Kepler-238 c,5868,6.3 Earths,15.297,2014
5240,Kepler-238 d,5868,9.64 Earths,15.297,2014
5241,Kepler-238 e,5868,0.534 Jupiters,15.297,2013
5242,Kepler-238 f,5868,13.5 Earths,15.297,2013
5243,Kepler-239 b,2114,6.04 Earths,15.252,2014
5244,Kepler-239 c,2114,6.85 Earths,15.252,2014
5245,Kepler-23 b,2726,0.8 Jupiters,13.567,2011
5246,Kepler-23 c,2726,2.7 Jupiters,13.567,2011
5247,Kepler-23 d,2726,17.6 Earths,13.567,2014
5248,Kepler-240 b,2436,2.45 Earths,15.953,2014
5249,Kepler-240 c,2436,0.322 Jupiters,15.953,2014
5250,Kepler-232 c,4401,14 Earths,15.565,2014
5251,Kepler-233 b,2794,6.48 Earths,15.477,2014
5252,Kepler-233 c,2794,7.8 Earths,15.477,2014
5253,Kepler-234 b,5653,13.2 Earths,15.747,2014
5254,Kepler-234 c,5653,12.1 Earths,15.747,2014
5255,Kepler-235 b,1396,5.6 Earths,16.567,2014
5256,Kepler-235 c,1396,2.18 Earths,16.567,2014
5257,Kepler-235 d,1396,4.86 Earths,16.567,2014
5258,Kepler-235 e,1396,5.56 Earths,16.567,2014
5259,Kepler-236 b,942,3.09 Earths,16.014,2014
5260,Kepler-236 c,942,4.66 Earths,16.014,2014
5261,Kepler-237 b,2146,2.57 Earths,15.689,2014
5262,Kepler-237 c,2146,4.98 Earths,15.689,2014
5263,Kepler-238 b,5868,3.64 Earths,15.297,2014
5264,Kepler-238 c,5868,6.3 Earths,15.297,2014
5265,Kepler-238 d,5868,9.64 Earths,15.297,2014
5266,Kepler-238 e,5868,0.534 Jupiters,15.297,2013
5267,Kepler-238 f,5868,13.5 Earths,15.297,2013
5268,Kepler-239 b,2114,6.04 Earths,15.252,2014
5269,Kepler-239 c,2114,6.85 Earths,15.252,2014
5270,Kepler-23 b,2726,0.8 Jupiters,13.567,2011
5271,Kepler-23 c,2726,2.7 Jupiters,13.567,2011
5272,Kepler-23 d,2726,17.6 Earths,13.567,2014
5273,Kepler-240 b,2436,2.45 Earths,15.953,2014
5274,Kepler-240 c,2436,0.322 Jupiters,15.953,2014
5275,Kepler-241 b,1670,6.04 Earths,15.708,2014
5276,Kepler-241 c,1670,7.13 Earths,15.708,2014
5277,Kepler-242 b,1958,7.32 Earths,15.489,2014
